"okul_sene","bolum","cinsiyet","lise_turu","aile_sosyoekonomik","memleket","anne_egitim","baba_egitim","aile_inanc_konusur","aile_fikir_destek","aile_etki","lise_arkadas_etki","lise_ogretmen_etki","lise_saygi","lise_sorgulama","lise_inanca_gore_yargi","lise_ifade_ozgurluk","aile_en_cok_etki","uni_deger_degisim","aileden_uzak_etki","uni_farkli_gorus","uni_sorgulama","uni_ifade_ozgurluk","uni_saygi","uni_hosgoru","uni_deger_yeniden","uni_bakis_acisi","uni_varolussal","farkli_inanc_iletisim","insanlari_bagimsiz_yargi","romantik_inanc_onem","farkli_iliskide_rahat","cocuk_farkli_saygi","inanc_turu","inanc_faktor_oncelik","metafizik_gorus","Dua","Ilahi_Adalet","Kader","Cekim_Yasasi","Ruh","Reenkarnasyon","Metafizik_Deneyim","Hicbiri"
5,"STAT","Kadın","Anadolu Lisesi",3,"İlçe/Kasaba","Ortaokul mezunu","Lise mezunu",4,1,4,5,5,2,3,4,1,4,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,"Kişisel bir tanrı’nın var olduğuna inanıyorum.","Akademik ortam ;Kişisel deneyimler ;Aileden uzak yaşamak ;Arkadaş çevresi ;Romantik ilişki;Kitaplar/filmler ;Sosyal medya;","Dua ederim.;İlahi adalete inanırım.;Kadere inanırım.;Çekim yasasına inanırım.;Ruhun varlığına inanırım;",1,1,1,1,1,0,0,0
2,"ME","Erkek","Anadolu Lisesi",3,"İlçe/Kasaba","Lise mezunu","Lise mezunu",4,4,4,5,4,4,5,4,5,2,5,4,1,5,5,5,5,4,4,1,5,1,4,2,2,"Hiçbir tanrı veya ilahi gücün var olmadığına inanıyorum.","Kişisel deneyimler ;Kitaplar/filmler ;Arkadaş çevresi ;Sosyal medya;Akademik ortam ;Romantik ilişki;Aileden uzak yaşamak ;","Çekim yasasına inanırım.;",0,0,0,1,0,0,0,0
5,"CRP","Kadın","Anadolu Lisesi",3,"Büyükşehir","Üniversite mezunu","Üniversite mezunu",4,5,4,3,4,3,4,4,4,2,4,3,5,5,4,3,4,5,5,5,4,4,5,4,4,"Evrenin veya tüm varoluşun kendisinin ilahi bir bütün olduğuna inanıyorum.","Kişisel deneyimler ;Akademik ortam ;Arkadaş çevresi ;Aileden uzak yaşamak ;Romantik ilişki;Sosyal medya;Kitaplar/filmler ;","İlahi adalete inanırım.;Reenkarnasyona inanırım.;Ruhun varlığına inanırım;Metafizik güçlere veya enerjiye dair deneyim yaşadım.;Çekim yasasına inanırım.;",0,1,0,1,1,1,1,0
3,"PSIR","Erkek","Açık Lise",4,"Büyükşehir","Lise mezunu","Üniversite mezunu",1,4,2,1,1,4,5,5,2,1,5,1,4,4,4,3,3,4,2,2,4,1,4,2,1,"Tanrı veya ilahi bir gücün var olup olmadığından emin değilim.","Arkadaş çevresi ;Sosyal medya;Kişisel deneyimler ;Aileden uzak yaşamak ;Akademik ortam ;Kitaplar/filmler ;Romantik ilişki;","Hiçbirine inanmam;",0,0,0,0,0,0,0,1
2,"ME","Erkek","Anadolu Lisesi",4,"İl Merkezi","İlkokul ve altı","İlkokul ve altı",4,4,4,3,1,4,3,1,5,1,1,1,4,2,5,4,2,1,5,2,4,3,5,4,2,"Bir yaratıcı gücün var olduğuna inanıyorum ama bu gücün dünyaya müdahale etmediğini düşünüyorum.","Kişisel deneyimler ;Kitaplar/filmler ;Arkadaş çevresi ;Sosyal medya;Akademik ortam ;Romantik ilişki;Aileden uzak yaşamak ;","Ruhun varlığına inanırım;",0,0,0,0,1,0,0,0
2,"EE","Erkek","Anadolu Lisesi",3,"Büyükşehir","Lise mezunu","Lise mezunu",5,5,5,5,1,5,5,4,5,2,5,1,5,5,5,5,1,5,5,5,5,5,5,4,3,"Tanrı veya ilahi bir gücün var olup olmadığından emin değilim.","Arkadaş çevresi ;Sosyal medya;Kitaplar/filmler ;Kişisel deneyimler ;Akademik ortam ;Romantik ilişki;Aileden uzak yaşamak ;","Çekim yasasına inanırım.;",0,0,0,1,0,0,0,0
4,"CRP","Kadın","Özel Lise",3,"Büyükşehir","Üniversite mezunu","Üniversite mezunu",4,5,4,2,4,4,1,1,1,4,5,4,4,1,2,2,4,4,5,5,4,3,4,4,4,"Evrenin veya tüm varoluşun kendisinin ilahi bir bütün olduğuna inanıyorum.","Kişisel deneyimler ;Akademik ortam ;Kitaplar/filmler ;Arkadaş çevresi ;Aileden uzak yaşamak ;Romantik ilişki;Sosyal medya;","Dua ederim.;İlahi adalete inanırım.;Kadere inanırım.;Çekim yasasına inanırım.;Ruhun varlığına inanırım;Metafizik güçlere veya enerjiye dair deneyim yaşadım.;Reenkarnasyona inanırım.;",1,1,1,1,1,1,1,0
4,"CENG","Belirtmek istemiyorum","Anadolu Lisesi",4,"İlçe/Kasaba","Üniversite mezunu","Lisansüstü (yüksek lisans / doktora) mezunu",5,2,3,2,2,4,5,2,5,3,1,1,1,1,3,2,1,1,1,1,5,5,5,3,2,"Kişisel bir tanrı’nın var olduğuna inanıyorum.","Kişisel deneyimler ;Kitaplar/filmler ;Arkadaş çevresi ;Aileden uzak yaşamak ;Romantik ilişki;Sosyal medya;Akademik ortam ;","Dua ederim.;Ruhun varlığına inanırım;",1,0,0,0,1,0,0,0
5,"PSY","Kadın","Fen Lisesi",2,"İlçe/Kasaba","İlkokul ve altı","İlkokul ve altı",4,2,2,4,4,1,5,4,1,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,"Bir yaratıcı gücün var olduğuna inanıyorum ama bu gücün dünyaya müdahale etmediğini düşünüyorum.","Kişisel deneyimler ;Aileden uzak yaşamak ;Arkadaş çevresi ;Sosyal medya;Kitaplar/filmler ;Akademik ortam ;Romantik ilişki;","Ruhun varlığına inanırım;İlahi adalete inanırım.;",0,1,0,0,1,0,0,0
3,"PSY","Kadın","Meslek Lisesi",3,"Büyükşehir","Lise mezunu","Lise mezunu",1,4,5,3,3,4,2,4,3,4,1,1,2,4,4,4,4,4,4,5,3,3,4,4,4,"Hiçbir tanrı veya ilahi gücün var olmadığına inanıyorum.","Arkadaş çevresi ;Aileden uzak yaşamak ;Kitaplar/filmler ;Sosyal medya;Akademik ortam ;Kişisel deneyimler ;Romantik ilişki;","Ruhun varlığına inanırım;",0,0,0,0,1,0,0,0
